nomeLocalidade;SIGLA_UF;Exportação_2020_Valor US$ FOB;Exportação_2020_Quilograma Líquido;Importação_2020_Valor US$ FOB;Importação_2020_Quilograma Líquido;Exportação_2019_Valor US$ FOB;Exportação_2019_Quilograma Líquido;Importação_2019_Valor US$ FOB;Importação_2019_Quilograma Líquido;Exportação_2018_Valor US$ FOB;Exportação_2018_Quilograma Líquido;Importação_2018_Valor US$ FOB;Importação_2018_Quilograma Líquido;Exportação_2017_Valor US$ FOB;Exportação_2017_Quilograma Líquido;Importação_2017_Valor US$ FOB;Importação_2017_Quilograma Líquido;Exportação_2016_Valor US$ FOB;Exportação_2016_Quilograma Líquido;Importação_2016_Valor US$ FOB;Importação_2016_Quilograma Líquido;Exportação_2015_Valor US$ FOB;Exportação_2015_Quilograma Líquido;Importação_2015_Valor US$ FOB;Importação_2015_Quilograma Líquido
Morro Agudo;SP;288069181;819596948;0;0;164903875;516700633;506;10;87050691;267086333;0;0;1287304;1679931;1750;39;1298951;3853223;0;0;63042119;150759355;0;0
Nova Ubiratã;MT;281719689;1176325630;0;0;225034767;986037169;0;0;110000045;448755878;0;0;179850458;585794124;0;0;134316615;552062864;0;0;86292208;287368077;0;0
São Félix do Araguaia;MT;278565476;1089206865;0;0;257306174;1025857176;0;0;89776778;257613087;41224;35088;167346424;614347834;0;0;105962184;298730160;0;0;113151549;341157037;0;0
Ipiranga do Norte;MT;247238603;983593289;0;0;220865050;941807188;0;0;141664696;527871434;0;0;164752705;704015333;0;0;139515040;548544437;0;0;139618306;543878273;0;0
Bom Jesus;PI;221959280;765363727;0;0;124264332;400179280;0;0;40237536;98882303;2914972;305309;157674506;423449296;0;0;68301170;197554580;886962;2132;153237627;427853432;0;0
Porto Franco;MA;189885022;636770507;0;0;211161127;700869288;0;0;59635980;169258989;18220;92;149272464;425913378;12518;35;133623378;349342905;2045;27;201735856;576605987;1435595;65265
Santa Carmem;MT;186059858;751956153;0;0;137502734;624924217;0;0;72988562;239515719;0;0;102163173;409876292;0;0;162984666;490913237;0;0;29525542;102773459;0;0
Santa Rita do Trivelato;MT;181629323;736664474;0;0;209780657;876736801;0;0;111619076;339864549;24839;97;318510215;1229104643;0;0;99722429;457588975;0;0;74950778;254011152;0;0
Alto Araguaia;MT;168217707;302812125;0;0;136993370;375894628;48310111;164452773;58476179;176309773;152499454;498879878;67038335;247397704;140641996;568699146;66458715;290366910;142955623;523694261;49640045;215336697;223349814;645885155
Anapurus;MA;166427310;547786303;0;0;92927876;271095826;0;0;41222245;107001649;0;0;27787441;90316539;0;0;3005015;7267741;0;0;22101915;60570941;0;0
Brasnorte;MT;144845969;497513905;0;0;245709418;896059310;90826;41732;90083009;306318884;21600;83;108984648;374403423;0;0;109756253;332973125;0;0;59496528;173677177;13442;1600
Manhumirim;MG;135868187;73779615;0;0;89525989;47160112;0;0;85950302;38057875;0;0;24838254;9519580;0;0;17726247;7184175;0;0;34014184;12921180;0;0
Água Boa;MT;135656608;445837304;0;0;115600824;378106167;4740;698;41379942;99614746;0;0;114537112;365274583;0;0;77286259;218065028;0;0;91954531;262935229;0;0
Guaraí;TO;128127042;394287521;0;0;108498943;331608456;0;0;86089108;222208570;22517;82;92770644;253473731;0;0;40421995;115760966;0;0;104286667;308348277;0;0
Matipó;MG;124635645;60182403;0;0;126183201;68239378;0;0;118344348;54032297;0;0;118127785;47122438;0;0;152733304;64649440;0;0;139623066;59101380;0;0
Alto Garças;MT;117811651;496418646;0;0;104046189;444834667;0;0;89863691;330857784;0;0;93834869;340202749;10336;387;72502837;258261928;334397;26671;87267905;335637750;0;0
Estrela d'Oeste;SP;114655080;26622687;0;0;172820229;38232802;0;0;107942521;25548904;0;0;57211619;13018203;953;7;45056124;10913056;35071;25581;36692833;9568689;38807;40003
Paranatinga;MT;105664754;107462116;0;0;107173948;107512459;0;0;101533901;48529188;26221;226;111226902;62993485;641;22;84043813;38974467;0;0;70442700;114080634;0;0
Colômbia;SP;99236851;293278801;0;0;40090573;146479587;0;0;18327841;65265606;0;0;0;0;0;0;487703;1796128;0;0;20645018;50646467;0;0
Araputanga;MT;98812526;25521279;0;0;96068097;26640332;0;0;97708817;24579271;0;0;111876652;26157129;0;0;86118230;21926248;0;0;85780984;20095986;158133;21606
Antônio João;MS;97361501;298021085;0;0;19225139;61997026;0;0;49837833;139951010;0;0;22996717;73861566;0;0;5564461;14636957;0;0;0;0;0;0
Santo Inácio;PR;96993254;304004359;0;0;52957389;175949166;0;0;89983775;255273772;6280;4413;113486234;258120063;39100;23650;107482002;346785574;12948;10624;89407131;240368033;608742;22750
Pirajuba;MG;90566349;309417480;0;0;68182223;247743960;0;0;87366822;285452272;0;0;132387978;309041407;0;0;88197509;264982322;101458;6270;75330873;232987673;0;0
Campo Florido;MG;87889692;298438486;0;0;43721880;152960030;0;0;82537586;217045195;0;0;107748610;226762500;0;0;70156340;195914770;4200;3;56593069;162860533;0;0
Campos Lindos;TO;82339049;268067444;0;0;74303536;235848304;0;0;44134336;115859741;0;0;111713081;342038136;0;0;70041598;203484485;0;0;128759710;386945575;0;0
Nanuque;MG;82118067;17447362;0;0;100510997;19777025;0;0;77050411;16944025;0;0;52139569;11878494;0;0;50870075;12130265;261946;1095496;50193955;11340600;0;0
São Geraldo do Araguaia;PA;81503447;18372115;0;0;22149607;5185016;0;0;11697722;3755961;0;0;12531027;3553948;0;0;3494263;1022196;0;0;0;0;0;0
Cruzeiro do Oeste;PR;81442632;19215087;0;0;94441900;23263666;13028;456;88444834;21682404;0;0;77689844;19305465;8022;5;67790709;17863023;47504;4544;33602774;9235872;244810;13099
Albertina;MG;78874339;37403645;0;0;71332670;34995929;0;0;64674152;28480952;0;0;67713849;25184250;153829;17180;66841399;27459700;0;0;63725744;24613420;0;0
Mendonça;SP;76891812;257952767;0;0;45060631;162185090;0;0;59555894;205037610;0;0;80323436;191150626;53603;22810;70893808;209217966;0;0;46682314;159288935;107345;38394
São José do Xingu;MT;76233918;276523990;0;0;72943729;277176990;0;0;39778642;122884299;0;0;55482692;192035602;0;0;28138172;65477593;0;0;23333786;61533835;0;0
Espera Feliz;MG;73466620;36749280;0;0;49541986;25835400;27003;4697;18759418;8685700;0;0;36501032;14055000;2516;550;66901213;29777400;3153;136;117047587;47958100;0;0
Edéia;GO;68614882;252306738;0;0;33649026;149930290;0;0;43417810;180269896;0;0;72158144;220887160;23077;407;88045831;294955095;129441;431;38034978;137625608;0;0
Chupinguaia;RO;67363867;18427016;0;0;89077170;25931896;0;0;97860163;26962263;28481;203;69843175;17978968;0;0;44227263;13150883;0;0;18972540;5813401;0;0
Iguatemi;MS;67062137;15090209;0;0;33029547;9727312;0;0;14859129;4384250;0;0;9461147;2492063;0;0;7179934;1867857;0;0;2536858;886588;0;0
São Luís do Quitunde;AL;61419748;186139561;0;0;56051456;195802301;0;0;62430824;199205548;0;0;68183943;174191739;0;0;89481954;248476589;0;0;79133891;239417520;0;0
Queiroz;SP;60826799;257685264;0;0;54726858;227582273;0;0;28858742;128906947;0;0;8066105;25963092;0;0;67791876;240715123;0;0;47958109;165531526;0;0
Florestópolis;PR;60676325;203040494;0;0;46563031;157315730;109480;20643;52504462;163336059;179580;59562;60856887;160076264;157115;45326;38794615;141890623;294477;128492;53154610;177712026;534617;167837
Mirandópolis;SP;59621609;170613709;0;0;39690513;106254656;2216;62;15088353;41794229;1621;27;0;0;0;0;0;0;0;0;781;25;23586;15372
Carmo do Paranaíba;MG;59085272;22884185;0;0;52078000;21765530;0;0;58792255;21417940;0;0;52958438;15996685;0;0;48596986;14548970;3187;365;56776398;16813200;0;0
Planalto;SP;59012697;204615093;0;0;41551901;144261277;0;0;52520145;184288608;0;0;55398689;118908397;0;0;47202442;102468935;0;0;14426151;41073765;0;0
Dores do Rio Preto;ES;58026910;36194640;0;0;41008460;23839100;0;0;49725913;23722200;0;0;25959836;10271200;0;0;17734370;7880200;0;0;13877059;7000100;0;0
São Luiz Gonzaga;RS;57737389;19001834;0;0;26029355;10124962;299911;2864;9119737;5281950;103729;330;15213999;7467094;6359;138;13203045;7609617;0;0;16355894;9473555;30357;0
Carneirinho;MG;57647834;205713879;0;0;42457113;150658868;0;0;68361806;218226378;0;0;102798581;239176500;0;0;93541513;266235826;0;0;71418942;239602152;0;0
Porto Alegre do Norte;MT;53243580;233748340;0;0;68436116;271355661;0;0;28811734;84722167;27551;105;55814861;258828271;0;0;42238781;125227344;0;0;57448601;196895812;0;0
Bento de Abreu;SP;49043024;147732885;0;0;31260134;82739022;0;0;14949905;39730999;0;0;0;0;0;0;0;0;0;0;0;0;11802;8600
Riachão das Neves;BA;48616998;144276440;0;0;41693130;114346725;0;0;47003527;118403430;0;0;18311637;50289410;0;0;11029771;27490604;0;0;27389269;70631313;0;0
Cariri do Tocantins;TO;46617056;136591011;0;0;40228979;120317907;0;0;31323364;79645902;5399;17;43195349;115356359;0;0;82174652;217219363;0;0;113708029;313187631;0;0
Uchoa;SP;46570866;38691801;0;0;47887824;30958882;0;0;14522178;5819957;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaetetuba;PA;45824870;25962092;0;0;70309527;35499530;42478;18390;103907753;47772575;45955;10837;92155761;46933722;26050;8231;63621365;32630560;148432;44716;122520551;62937742;0;0
Marcelândia;MT;45625519;180511874;0;0;51489346;184901902;0;0;11757475;32525570;0;0;340018;237500;0;0;863827;665000;0;0;487813;332500;0;0
Nova Maringá;MT;45345138;187802208;0;0;39468931;196655881;0;0;24810875;101150852;0;0;21702188;78148188;0;0;11817022;44318053;0;0;5107775;24987632;0;0
Rio Maria;PA;44604352;9876630;0;0;15594274;3826423;0;0;8055909;2442284;0;0;8919805;2648309;0;0;8285103;2652727;0;0;7303956;2362086;0;0
Santa Rosa do Tocantins;TO;43030725;142702345;0;0;24113889;69933001;0;0;0;0;0;0;16630905;43581446;0;0;76351;213270;0;0;0;0;0;0
Nova Santa Helena;MT;42945353;175770442;0;0;68691861;275328812;0;0;36803215;127176704;0;0;54707195;179536785;0;0;40481255;102934567;0;0;11800195;35643249;0;0
Castelândia;GO;42929022;150030905;0;0;34902626;133093192;0;0;21664526;66495085;0;0;42995624;152655727;0;0;32071823;115850853;0;0;17131917;49690077;0;0
Vila Rica;MT;42518160;160471894;0;0;24843539;86026728;0;0;12742277;35155690;0;0;18389263;76912617;0;0;5226709;17634492;0;0;21875279;95578879;0;0
Figueirópolis;TO;41286251;120825896;0;0;34396084;99077535;0;0;46962174;122516575;0;0;24014289;64247278;0;0;0;0;0;0;0;0;0;0
Santa Albertina;SP;40651054;131579018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cassilândia;MS;40292181;11503663;0;0;52123760;16448830;0;0;11726436;3259142;0;0;30751735;7604273;0;0;25505106;6563891;6792;120;27425064;6163103;293556;60452
São Miguel do Guaporé;RO;39361325;10960291;0;0;37588040;12543179;0;0;50056028;17771590;0;0;54673421;19012104;0;0;41675135;15706712;0;0;40787506;10536918;158523;20959
Coromandel;MG;39055840;76786102;0;0;15564412;27150316;0;0;4521798;1182415;0;0;9448607;3037206;85459;41494;24165425;38786579;0;0;10546421;6696476;0;0
Alto Taquari;MT;36737218;129505010;0;0;40336235;157603728;0;0;23925259;83652380;0;0;45492917;155249207;0;0;42107508;171409340;0;0;53241748;202857432;0;0
Paraíso das Águas;MS;36575360;145200848;0;0;0;0;338294;193504;2869853;11200722;245523;82224;38717664;108557003;523006;204287;0;0;123504;151000;0;0;253135;96653
Corrente;PI;36074741;99278591;0;0;18924429;48187600;0;0;28645652;71290031;0;0;11295377;30297067;0;0;2054328;5519180;0;0;4794252;12204971;0;0
Conquista;MG;34974572;118545254;0;0;26649077;93418409;0;0;5580533;18124209;45746;81;239088;3516;57293;91;0;0;715735;42593;0;0;1717748;143735
Avanhandava;SP;34505486;116734288;0;0;20291729;69346827;0;0;20564882;63650180;2760;248;8808781;25575627;50681;7852;11145465;34997601;11424;836;8530562;25548277;10139;39
Conceição das Alagoas;MG;33784106;113037720;0;0;15857623;47437152;0;0;3455201;11028012;0;0;32222676;75116020;0;0;0;0;701;1;0;0;0;0
Silvanópolis;TO;33385409;99673610;0;0;32796738;97564490;0;0;27891593;76303874;0;0;36176464;101511467;0;0;29292236;81008849;0;0;72574195;196831308;0;0
São Domingos do Azeitão;MA;33188041;107555123;0;0;39289659;114164865;0;0;2598269;6860000;0;0;8808308;24276511;0;0;479659;1120490;0;0;36975808;97007083;0;0
Suzanápolis;SP;32442354;122271186;0;0;5891714;16213528;0;0;27323856;67842826;0;0;43836702;99625369;0;0;0;0;0;0;0;0;0;0
Caarapó;MS;32267955;97077294;0;0;11203994;39186238;277662;125120;22676657;40603212;35735;16800;78072940;156110370;188002;11675;99770304;223052626;0;0;119857289;251268972;441647;130589
Rio Brilhante;MS;31861950;100304862;0;0;8929412;30157292;114712;400000;26452760;76323105;36200;100000;37758901;114970107;7724267;17980000;64773418;192220386;0;0;27894663;94884435;0;0
Nuporanga;SP;31748490;22939779;0;0;44631080;26484735;0;0;58781902;33770809;13693;41;68871065;36451602;0;0;68633434;42373315;0;0;84350895;40818533;0;0
Marapoama;SP;31640184;118105271;0;0;10727076;37623776;0;0;37175990;112903325;0;0;55756528;127935297;57569;94577;44023288;125421156;0;0;35775288;106017764;0;0
Limeira do Oeste;MG;31258462;114583958;0;0;0;0;0;0;4228411;13615440;24821;11872;8910787;28549248;0;0;0;0;0;0;0;0;0;0
Pontes Gestal;SP;31151176;115062830;0;0;29616994;102458542;0;0;25764315;93652689;0;0;48025530;129646265;0;0;107423874;272317446;0;0;87800736;230617332;0;0
Maracaí;SP;30424512;60234070;0;0;44052354;72497116;0;0;14229297;22345238;0;0;7617092;21614266;0;0;48485;322712;0;0;846888;4051790;21963;16000
Palmeirante;TO;30351874;130902558;0;0;17738230;50496222;0;0;0;0;0;0;945517;2448322;0;0;0;0;0;0;0;0;0;0
Juruena;MT;30061275;8808342;0;0;14403213;4609816;0;0;499539;709593;0;0;648278;825500;0;0;1539961;1779186;0;0;1346950;1569816;0;0
Santa Filomena;PI;29398957;86800712;0;0;26088072;75150812;0;0;5202209;13517061;0;0;1597256;4493940;0;0;0;0;0;0;38381319;100066178;0;0
Ventania;PR;29268759;62762164;0;0;21288223;50052952;0;0;33523004;62043129;0;0;21451409;43370307;0;0;19443771;43943781;0;0;17601347;31436500;0;0
Novo Mundo;MT;28672058;121314702;0;0;32844129;132927321;0;0;15322909;55791601;0;0;17102013;68066806;0;0;0;0;0;0;0;0;0;0
Mirante do Paranapanema;SP;28572925;115393797;0;0;1427258;5046504;0;0;15023840;44714060;0;0;51451559;156697235;0;0;159348901;460926654;0;0;103825738;343041599;0;0
Itanhangá;MT;28239119;109338245;0;0;29311428;138146647;0;0;12042090;46181547;0;0;19599110;74907097;0;0;3095031;12525787;0;0;2083104;7479856;0;0
Minaçu;GO;27985768;71187000;0;0;11199514;26133500;0;0;44768566;101069700;0;0;53824137;106819200;0;0;46937788;83474800;85153;2313;71063987;106783800;27285;675
Timbó Grande;SC;25742444;60953325;0;0;26140880;60224966;0;0;30920200;49519942;0;0;23729239;43920391;2108;12;19925719;41595565;0;0;23505100;39097895;19073;20742
Muniz Freire;ES;25478313;16784400;0;0;21315273;11669332;0;0;18244222;8102941;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tupirama;TO;25098534;99516505;0;0;6118886;18455075;0;0;2826637;7182000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guaraci;SP;24544368;92452397;0;0;12744210;44300800;36137;7500;12047021;37240665;150511;37600;26010357;54600048;0;0;19539343;55438246;0;0;13870047;46849472;0;0
Castilho;SP;24447225;87242974;0;0;1623142;5993018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campo Limpo de Goiás;GO;21473427;406;0;0;2386070;4152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Igreja Nova;AL;20359657;61992513;0;0;17033994;57845324;0;0;6292307;19119717;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capão Alto;SC;19565622;45553168;0;0;15160781;33430896;0;0;16389713;34799114;0;0;11583251;27283669;0;0;6679920;14518223;0;0;5331064;10869132;0;0
Baixa Grande do Ribeiro;PI;19381560;61458240;0;0;54019307;154078285;0;0;54265882;145223152;0;0;18819727;46978883;0;0;9723608;22943613;0;0;50094886;168998944;0;0
Macau;RN;19214424;744270840;0;0;8371900;191030961;0;0;11685736;289848608;0;0;12164799;252477001;0;0;15711187;482666371;0;0;14211561;338785650;0;0
Santa Bárbara do Pará;PA;19043873;21031472;0;0;18968530;16831721;0;0;17575192;19482460;0;0;11156910;14549069;0;0;10953666;13714233;0;0;7906704;9232142;0;0
Carmo de Minas;MG;17836557;5434099;0;0;31191095;9718129;0;0;34239882;9588009;2359;128;37396007;9582136;0;0;33470288;8798009;5201;330;27942300;6976593;3745;180
Herculândia;SP;17117852;14975000;0;0;6737719;5653949;4063;24;2893502;2675156;0;0;4532270;4050000;4196;120;1652483;1525000;0;0;1065367;1050000;0;0
Sambaíba;MA;16877649;53832098;0;0;20420147;57670718;0;0;13360707;32986908;0;0;26204607;68727436;0;0;9455203;21613549;0;0;19341275;48900793;0;0
Santa Cruz do Xingu;MT;16284841;54899740;0;0;17998995;60563218;0;0;3526264;9350496;27551;105;11069890;35677137;16383;0;8410545;20371065;0;0;8069820;26844855;0;0
Colniza;MT;15831377;15132430;0;0;16357413;13875274;0;0;17129023;14956468;0;0;19942682;16411633;0;0;13702798;10988197;0;0;11017266;8382425;0;0
Dores de Guanhães;MG;15693852;55639003;0;0;21190899;76316331;0;0;18034842;63469220;0;0;19249634;65809576;0;0;11880928;42324436;0;0;10444352;35989857;0;0
Marechal Floriano;ES;14976124;8822877;0;0;11015165;6409917;0;0;14616409;7077815;0;0;16720382;6567753;0;0;17612385;8003381;990240;5460000;18129287;8372319;0;0
Campo Maior;PI;14970868;2122525;0;0;18129891;2478225;0;0;13388592;2038700;0;0;16108065;2469525;0;0;16030204;2586250;41643;5300;20025628;2751550;0;0
Muitos Capões;RS;14429897;43944532;0;0;15937709;48671622;0;0;13000362;34587178;8385;462;11577592;36736832;6995;462;4125642;11559679;0;0;17971357;49267995;0;0
Ipiranga;PR;14239091;36636091;0;0;10787046;29109179;0;0;5590898;12669041;0;0;1137824;917447;0;0;21779;21600;0;0;0;0;0;0
Ibirapuã;BA;14210000;53032952;0;0;3750000;14987671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tabaporã;MT;13882665;9141601;0;0;576562;373610;0;0;0;0;0;0;0;0;0;0;450239;1285921;0;0;7233796;23116261;0;0
São Félix do Xingu;PA;13796365;10744209;0;0;9905663;31656904;0;0;9967266;7404586;0;0;15567769;9503874;0;0;15977345;4841502;0;0;12397510;2360758;0;0
União do Sul;MT;13628787;9174914;0;0;0;0;0;0;0;0;0;0;381693;293089;0;0;275161;201516;0;0;0;0;0;0
Cachoeira Alta;GO;13563512;3755122;0;0;9188307;2967744;0;0;8435121;2575531;0;0;1415200;358326;0;0;16849035;4531838;0;0;15073424;4120279;0;0
Capinópolis;MG;13559616;39621116;0;0;10831706;29620135;10928;74;11507220;31313467;0;0;45388466;139317170;0;0;21030369;68895591;0;0;12289235;35523787;4482;630
Ipuaçu;SC;13327677;9212573;0;0;18537912;12517260;0;0;9105485;4762235;0;0;13970291;6722048;0;0;10119733;6380102;0;0;9785966;5610878;0;0
Vera;MT;12924098;51658294;0;0;26913498;87721322;812;22;7546977;25174068;0;0;10962441;45635696;0;0;1665028;8573494;0;0;2241682;8766317;0;0
Araporã;MG;12816974;35316000;0;0;4097340;11745032;0;0;7243873;18441189;39937827;19598602;3575635;8451004;74838374;7204485;1401786;3660000;48723145;2658220;7202401;20442521;300774;7724
Monte Alegre do Piauí;PI;12636418;36552499;0;0;20817809;61085402;577393;354056;12811078;32477566;0;0;0;0;0;0;0;0;0;0;0;0;2259597;1735394
Nova Olinda;TO;12587432;4096933;0;0;7105533;2522954;0;0;5835870;1910544;0;0;6598648;1962125;0;0;6285970;1889423;0;0;3831644;1186377;0;0
Sud Mennucci;SP;12394309;46132400;0;0;624108;2481879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oeiras;PI;12302805;5698310;0;0;3869899;1682731;3880;59;2144564;727800;12668;217;5310070;1175550;3721;69;2731163;734703;186069;57392;719366;210724;0;0
Grão Pará;SC;12085425;5875376;0;0;6438740;3533079;0;0;4777317;2721166;0;0;3767840;2515412;0;0;2076159;1624500;0;0;2983545;1121129;0;0
Cambará do Sul;RS;12014253;33312147;0;0;12677936;32118166;0;0;13136561;28915607;0;0;12840023;27694604;215094;3840;10942849;23897537;78735;2131;9458865;19444375;0;0
Machadinho D'Oeste;RO;11808475;12324282;0;0;13074887;13282733;0;0;8476569;9272003;0;0;9084986;9936529;0;0;7428806;8468739;0;0;2734616;2966790;0;0
São José da Laje;AL;11475702;26463475;0;0;14581124;34563092;0;0;4187853;10150120;13374;520;15855476;35473010;0;0;17159560;38264300;0;0;29962976;82547000;0;0
Quixadá;CE;11467747;103885488;0;0;18;8;1557;32;0;0;0;0;0;0;395557;2127086;0;0;689167;3715800;0;0;0;0
Canápolis;MG;11368563;42905183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vicentinópolis;GO;11057392;43836906;0;0;6518444;23667011;0;0;56229381;58257233;0;0;16895841;39900291;0;0;12454225;38090138;0;0;14177796;46704120;0;0
Governador Mangabeira;BA;10906378;448281;0;0;11087522;447631;77292;116584;10568937;405131;210691;10785;11525211;539152;72237;4235;8248518;515730;4085;55;2555411;170290;79424;3794
Poço Fundo;MG;10820055;3193235;0;0;10876631;3138227;0;0;5044815;1538375;0;0;4038237;1083482;0;0;4499131;1103800;0;0;2056394;466600;0;0
Júlio de Castilhos;RS;10612338;31707583;0;0;3694964;11200000;0;0;7455870;18900000;0;0;3827424;9600000;0;0;6487228;18700000;0;0;7431988;19350000;0;0
Pacaraima;RR;10550221;12634586;0;0;1030718;1479018;24866;50000;0;0;10678;26144;49841;56400;0;0;693798;539826;0;0;0;0;0;0
Josenópolis;MG;10502846;93313905;0;0;4772514;41718633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alvorada;TO;10219861;3255732;0;0;10861583;3724259;0;0;13597921;4172774;0;0;18488904;10046631;0;0;16976179;16155922;0;0;5622113;1675353;0;0
Atalaia;AL;9946665;30184813;0;0;17218154;55895250;0;0;11534479;42450000;0;0;20015418;48022920;0;0;14136411;35997110;0;0;2250208;6600000;0;0
Porto Esperidião;MT;9921061;307287;288;0;19688795;436504;173;0;22496502;926307;0;0;9649180;4370597;3812;408;2494153;7722217;0;0;1203457;3354949;0;0
Cidade Gaúcha;PR;9626831;10351440;0;0;9900849;9485405;301648;8521;10463116;9528129;38570;43836;6846822;9319831;0;0;4810241;12061225;0;0;20062478;57075170;0;0
Riachão;MA;9430014;30852267;0;0;12470022;35713195;0;0;6751100;18172949;0;0;10024506;29605774;0;0;13343705;45480125;0;0;32384040;110889152;0;0
Santa Maria da Serra;SP;9309706;51692091;0;0;11053579;59951008;2210;414;8033846;37429996;0;0;2451181;13935510;0;0;13903679;39086110;0;0;0;0;0;0
Clementina;SP;8897059;39404083;0;0;2664372;11338694;0;0;62166339;251271802;0;0;205523473;647783519;0;0;153120432;509003533;0;0;138779045;501411274;0;0
Retirolândia;BA;8765782;6643806;0;0;9145604;6320691;0;0;10046855;6204923;0;0;11112741;6499961;57228;2596;9193272;5380321;0;0;12439139;6101118;0;0
Poço das Antas;RS;8689131;4448754;0;0;7607379;3777485;0;0;9611006;4682381;0;0;11262943;4486169;314;47;10842913;5642097;0;0;9118671;4602763;20075;250
Cristal;RS;8268486;4169121;0;0;4165089;2079228;0;0;28579689;11334311;0;0;17299929;7388960;0;0;5470179;2355680;0;0;0;0;0;0
Alto Parnaíba;MA;8264394;25413735;0;0;11858121;33807250;0;0;2026333;5337842;0;0;634960;1720760;0;0;3347406;7862994;0;0;6578504;17242353;0;0
Dom Eliseu;PA;8034457;22036926;0;0;9936636;24686654;3222;6740;9430565;15218494;0;0;24349479;56295286;0;0;9549307;18388811;0;0;2377898;2845561;0;0
Francisco Alves;PR;7698860;20985711;0;0;895248;2412222;0;0;3269113;8268009;0;0;996476;2920000;0;0;3876380;10468487;0;0;0;0;0;0
Sonora;MS;7479786;22135928;0;0;9165208;31947993;25000;16;3004216;7446795;35314;132;24822132;72649971;0;0;9132943;26622451;0;0;20485049;67383003;0;0
Marilândia;ES;7127940;4664661;0;0;11117769;6467740;0;0;10412008;5338240;0;0;7457348;2963160;0;0;4259534;1968680;0;0;10721296;5234826;0;0
Maravilhas;MG;6960511;23053000;0;0;2909772;9522000;0;0;1869140;5571000;0;0;0;0;0;0;263250;675000;0;0;349196;934000;0;0
Boa Esperança;ES;6863938;1703645;0;0;6519140;1607924;0;0;3756399;881350;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santa Leopoldina;ES;6828235;4045635;0;0;2312823;2012604;0;0;1108544;964774;0;0;312924;245005;0;0;41976;40348;0;0;0;0;0;0
Bocaiúva do Sul;PR;6675204;19395272;0;0;7621734;21448218;2199;16;9112978;22473441;0;0;7180169;19285805;0;0;6500828;18878755;29788;24300;6251029;15259970;47767;34860
Nova Soure;BA;6203373;2392268;0;0;12131818;2127579;317089;178539;14277427;2581840;0;0;10262956;3353138;0;0;0;0;0;0;0;0;0;0
Ocara;CE;6138977;219790190;0;0;5560802;164943700;0;0;3284923;90372000;0;0;1792457;38301000;0;0;0;0;0;0;0;0;0;0
Vila Valério;ES;5981467;3086716;0;0;5025593;2577950;0;0;1647622;669004;0;0;146282;40003;0;0;0;0;0;0;0;0;0;0
Campos Novos Paulista;SP;5979987;18674603;0;0;8448309;34313740;0;0;3949915;9975144;0;0;8979691;29465850;0;0;2521658;9844799;0;0;1067459;6603510;0;0
São Pedro da União;MG;5944432;3981782;0;0;501073;244996;0;0;314643;134400;0;0;102837;39000;0;0;0;0;0;0;235;38;0;0
Santaluz;BA;5765225;4152382;0;0;8093189;6060133;0;0;9186782;4458443;2517912;143387;12973637;6018078;1194129;219878;11256697;5689863;100260;11797;12445533;5788215;9684;80
Jardim Alegre;PR;5626765;6235724;0;0;3786185;5870216;0;0;532559;81594;0;0;143626;82277;0;0;1425418;319335;6996;46168;2422281;2469834;0;0
Porto do Mangue;RN;5441787;319349800;0;0;3433780;176216000;0;0;2633390;141919000;0;0;2614155;139695000;0;0;3184050;134716000;0;0;5318049;215406000;0;0
Loreto;MA;5245117;15759435;0;0;7411891;20812707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paulo Bento;RS;5215907;4562681;0;0;4305396;3278340;0;0;4654596;3292554;17550;54000;5933667;4311558;0;0;2922253;2169009;0;0;2884167;1385775;0;0
Camapuã;MS;5209137;4026426;0;0;3524255;1065406;0;0;3396576;704762;0;0;4650281;1926031;0;0;3407856;2687366;2270;53;3556590;5057390;2028;63
Capitão Poço;PA;5130944;4721967;0;0;1463867;3771500;0;0;2507936;2416810;0;0;405538;1081278;0;0;925173;2512882;0;0;0;0;0;0
Presidente Tancredo Neves;BA;4722471;946075;0;0;6251694;1105160;0;0;6971466;1148562;0;0;8584830;1405250;0;0;11113204;1532500;0;0;9126268;1166550;0;0
Floresta;PR;4705282;13475908;0;0;1748277;6091263;0;0;0;0;0;0;206066;1475600;25233;11133;3226;54;0;0;570;14;0;0
Rondon do Pará;PA;4508965;12001721;0;0;3835762;8451018;14723;8000;3314238;2903950;38682;20200;2612675;2529844;0;0;787403;787570;0;0;0;0;0;0
