nomeLocalidade;SIGLA_UF;Exportação_2020_Valor US$ FOB;Exportação_2020_Quilograma Líquido;Importação_2020_Valor US$ FOB;Importação_2020_Quilograma Líquido;Exportação_2019_Valor US$ FOB;Exportação_2019_Quilograma Líquido;Importação_2019_Valor US$ FOB;Importação_2019_Quilograma Líquido;Exportação_2018_Valor US$ FOB;Exportação_2018_Quilograma Líquido;Importação_2018_Valor US$ FOB;Importação_2018_Quilograma Líquido;Exportação_2017_Valor US$ FOB;Exportação_2017_Quilograma Líquido;Importação_2017_Valor US$ FOB;Importação_2017_Quilograma Líquido;Exportação_2016_Valor US$ FOB;Exportação_2016_Quilograma Líquido;Importação_2016_Valor US$ FOB;Importação_2016_Quilograma Líquido;Exportação_2015_Valor US$ FOB;Exportação_2015_Quilograma Líquido;Importação_2015_Valor US$ FOB;Importação_2015_Quilograma Líquido
Poá;SP;19334511;3819580;25808239;9662085;22802366;4280606;23086690;8531836;20081846;3598111;27001970;9027853;22466927;3792507;20310610;6712709;29402882;4660854;20222924;7854341;42851769;13908493;22499644;8223125
Caaporã;PB;2946804;3979615;4903385;9668488;203589;16679;2395901;29500062;101859;7562;9200914;92640391;0;0;2348538;33867435;0;0;0;0;153540;391275;945555;35288375
Videira;SC;34218300;23470758;18440343;9683920;29184838;21589145;24918595;9402798;32612553;28822493;17797293;5522543;27541788;22486290;18821115;5231997;17106649;16292698;25790869;3992471;21363322;20454005;29171131;30818026
Paulista;PE;2253654;414127;18095422;9743147;2830187;531051;20416958;11099388;3609328;606664;22611867;9896121;3551299;672199;14689545;9418690;5609371;985026;9143377;6545454;57423704;138331506;24090240;14334655
Massaranduba;SC;2487997;2668946;4202497;9781716;2608139;2968655;1199254;102917;3801575;2833519;1053407;113598;2706559;1989111;345754;88633;2008613;1745512;1174673;1810542;2968512;2365182;1294367;198600
Salto de Pirapora;SP;10371858;1984519;161066391;9783031;11640164;1924817;206345585;20103450;11829689;2083035;248938046;25442821;6838639;1393918;209508179;22056734;6280609;1383421;170239856;74847427;6041198;1034866;180621580;171581001
São Carlos do Ivaí;PR;42151841;134504586;2012317;9803000;21918271;77455500;4607050;15463600;25104310;91209000;128024;487900;55381547;124500000;0;0;47448501;156145009;0;0;24492854;87735014;0;0
Ribeirão;PE;0;0;4894698;9861357;0;0;9114;5364;0;0;30874;20050;0;0;0;0;0;0;0;0;0;0;78060;0
Ubá;MG;3029020;1027376;14252668;9962567;2634835;967125;7163987;5283766;2118144;763935;5649462;2922809;1705891;650904;4436486;3575288;1423037;530647;3038162;2667167;1157467;427188;2092032;999494
Jacutinga;MG;3755649;2123950;20665676;10017892;3075813;984367;27285362;9391168;2099798;634858;28911648;8089346;2267510;478133;15893553;5872489;2126206;426948;7726202;3139910;2361543;94634;7608549;1538924
