nomeLocalidade,estado,População residente,Densidade demográfica,Porcentagem de Jovens,Porcentagem de Ativos,Porcentagem de Idosos,Taxa de Urbanização,Taxa de Saneamento Básico,Ativos com Baixo Nível Educacional,Ativos com Médio Nível Educacional,Ativos com Alto Nível Educacional,Percentual de estrangeiros ao total de Trabalhadores,PIB Municipal,Estudantes Ensino primário,Estudantes Ensino secundário,Estudantes Ensino superior,Óbitos até 1 ano de idade por milhares de habitantes,Óbitos por milhares de habitantes,Nascidos por milhares de habitantes,Hospitais por milhares de habitantes,Médicos por milhares de habitantes,% de pobres,IDH,Percentual de trabalhadores especializados,"Valores de Importação por 10,000 habitantes","Valores de Exportação por 10,000 habitantes","Número de hotéis por 10,000 habitantes",Percentual de empresas do setor primário em relação ao total,Percentual de empresas do setor secundário em relação ao total,Percentual de empresas do setor terciário em relação ao total,Percentual de trabalhadores do setor primário em relação ao total,Percentual de trabalhadores do setor secundário em relação ao total,Percentual de trabalhadores do setor terciário em relação ao total,Média Salarial,Produtividade,Taxa de desemprego dos jovens,Taxa de desemprego,"Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes","Número de ativos culturais e de lazer por 10,000 habitantes",cat_export,cat_import
Brasiléia,Acre,21398,5.46,51.88,42.76,5.37,70.02,21.27,70.67,21.29,8.04,2.0,190633284.1,4839,1297,309,0.1,4.2,25.0,0.0,0.14,35.22,0.77,8.55,14731.75,2119542.01,0.93,9.23,6.92,83.85,2.53,17.7,33.83,818.65,2376384.22,11.13,5.96,14.58,0.0,media,media
Epitaciolândia,Acre,15100,9.13,51.81,43.38,4.81,72.06,4.72,64.29,24.87,10.84,9.73,145086236.0,3141,922,42,0.3,1.7,19.0,0.0,0.33,29.44,0.77,12.93,218857.62,2141544.37,1.99,3.19,11.7,85.11,0.54,4.64,47.28,810.69,2376713.0,15.22,7.12,27.88,0.0,media,media
Rio Branco,Acre,336038,38.03,49.4,46.24,4.36,91.13,46.62,47.47,34.84,17.69,0.94,5125379270.0,70679,24276,16097,0.4,6.1,19.5,0.04,2.27,14.38,0.8,23.06,72769.06,375337.19,1.22,3.29,20.31,76.29,1.9,13.77,37.23,1217.69,3671618.13,21.63,9.59,37.26,0.86,media,media
Arapiraca,Alagoas,214006,607.97,46.99,46.77,6.24,85.09,10.8,66.36,24.85,8.79,0.0,1904856706.0,42985,11297,6459,0.2,9.1,20.9,0.07,0.51,26.65,0.78,11.03,304447.59,36054.08,1.26,0.81,9.87,89.32,3.18,20.09,60.5,788.02,2237986.12,16.92,8.54,36.13,0.37,media,media
Coruripe,Alagoas,52130,58.01,51.22,44.04,4.74,88.99,13.39,72.22,23.01,4.77,0.43,702437153.6,12448,3369,0,0.2,4.8,20.0,0.02,0.63,33.79,0.77,2.34,2230306.54,20482761.94,1.73,10.87,13.04,76.09,3.46,72.32,7.52,1084.48,3845073.58,21.31,10.96,10.38,0.19,media,media
Maceió,Alagoas,932748,1829.36,43.35,51.19,5.46,99.93,31.21,48.89,32.45,18.66,0.64,12261905208.0,161338,44868,51283,0.2,7.2,17.9,0.06,0.51,15.57,0.8,18.51,2049580.65,6019842.06,1.58,0.69,12.97,86.31,0.27,17.7,53.65,1026.15,3147093.45,28.4,12.26,45.26,1.06,media,media
Marechal Deodoro,Alagoas,45977,138.62,48.78,46.35,4.87,94.81,11.24,62.4,28.93,8.67,2.18,909010347.5,10231,2024,373,0.2,3.1,15.7,0.0,0.24,32.01,0.79,8.48,3515386.39,9477.13,5.66,4.31,17.82,77.87,2.04,49.79,28.1,1302.88,5649170.65,18.78,11.57,15.2,0.65,media,media
Murici,Alagoas,26710,62.34,53.14,41.41,5.45,82.62,67.32,80.96,15.01,4.04,0.0,140635094.6,6620,935,0,0.1,1.4,17.4,0.0,0.3,42.57,0.69,5.03,143581.06,173597.9,0.37,9.42,13.04,77.54,21.1,5.03,16.2,662.52,2140243.53,25.45,15.6,6.96,0.37,media,media
Palmeira dos Índios,Alagoas,70368,155.5,44.82,46.59,8.59,74.55,6.14,66.85,23.02,10.14,0.0,443149516.8,16784,5322,2504,0.0,6.7,19.8,0.03,1.13,30.72,0.79,17.21,14739.65,4786.27,1.14,0.19,10.9,88.91,0.14,12.83,45.79,864.72,1736134.49,14.43,8.16,19.48,0.43,media,media
Penedo,Alagoas,60378,87.52,47.9,45.18,6.93,75.88,11.18,64.18,27.01,8.81,0.23,401287886.3,11713,3688,949,0.2,4.9,17.6,0.05,0.43,36.82,0.77,9.67,18868.63,398.32,1.32,2.08,7.39,90.53,1.2,41.7,32.97,877.82,1929991.34,25.27,12.63,20.72,1.49,media,media
Pilar,Alagoas,33305,133.06,49.21,45.05,5.74,95.52,9.97,68.29,28.21,3.5,0.0,323180063.3,7236,1411,0,0.1,3.3,16.8,0.03,0.45,35.27,0.77,15.92,58621.23,91939.95,0.9,6.17,12.33,81.5,19.01,12.12,28.19,2114.96,3353195.02,27.22,15.64,13.03,0.0,media,media
Rio Largo,Alagoas,68481,228.95,47.27,47.05,5.68,82.09,21.5,64.41,31.26,4.33,0.0,487752498.5,16320,3060,762,0.1,2.7,14.8,0.01,0.62,24.26,0.79,3.48,213233.74,3731842.26,0.29,1.66,21.37,76.97,2.3,62.48,20.41,1002.57,2229001.46,31.69,16.69,16.24,0.15,media,media
São Miguel dos Campos,Alagoas,54577,151.24,49.71,45.56,4.74,96.81,50.76,65.72,27.87,6.42,0.0,892056153.1,12750,3119,645,0.1,5.1,19.2,0.02,0.75,28.11,0.77,9.35,1249518.11,11611276.36,0.92,4.7,11.63,83.67,3.27,59.01,18.95,1198.68,5355530.88,36.62,20.35,23.25,0.55,media,media
Macapá,Amapá,398204,61.24,52.43,44.06,3.52,96.31,9.22,37.71,43.18,19.11,0.22,5475531976.0,42641,28255,19103,0.5,4.7,29.1,0.04,0.78,18.15,0.82,12.62,1096719.09,25980.53,1.63,0.83,12.39,86.73,0.28,8.04,46.13,1124.69,3344128.32,24.33,11.76,38.7,0.65,media,media
Santana,Amapá,101262,64.52,55.19,40.81,4.0,97.66,2.74,46.86,42.57,10.57,0.18,1092463062.0,12500,7442,787,0.3,1.9,29.8,0.02,0.74,25.39,0.79,11.8,198175.92,6023814.86,0.79,0.71,17.26,82.03,0.4,15.44,44.18,1168.1,3012850.8,25.32,13.91,19.08,0.2,media,media
Iranduba,Amazonas,40781,18.42,55.84,39.57,4.59,69.6,1.73,71.43,23.78,4.79,1.34,304694833.7,11782,2316,43,0.1,1.8,16.3,0.0,0.05,34.86,0.8,21.81,3148591.26,57916.92,0.74,8.25,34.02,57.73,4.79,23.73,8.62,928.35,2098827.67,9.75,5.95,4.56,0.25,media,media
Itacoatiara,Amazonas,86839,9.77,55.02,39.94,5.04,67.24,3.85,60.85,31.52,7.63,1.29,825627871.2,23444,5613,1980,0.1,3.0,25.3,0.01,1.22,36.6,0.81,15.38,14902.52,1080522.92,0.69,4.26,9.66,86.08,1.78,13.73,31.79,1273.11,2602401.82,16.87,9.01,11.68,0.12,media,media
Manacapuru,Amazonas,85141,11.62,57.58,37.44,4.98,71.82,8.52,67.88,26.9,5.22,3.22,644393915.6,23821,5244,512,0.0,2.2,26.5,0.0,0.34,35.47,0.8,16.86,1813.81,7358.62,0.59,1.68,20.2,78.11,1.65,18.53,24.32,788.77,2079901.88,14.3,9.56,9.6,0.0,media,media
Presidente Figueiredo,Amazonas,27175,1.07,53.52,43.52,2.96,45.79,28.68,62.89,30.09,7.02,0.46,314764764.0,7590,1774,223,0.1,1.1,18.3,0.0,0.93,25.21,0.8,10.22,949412.33,6157953.63,4.42,5.98,23.08,70.94,17.52,26.31,8.79,2107.98,2756330.61,9.71,5.46,7.76,0.37,media,media
Alagoinhas,Bahia,141949,197.68,41.88,51.08,7.05,88.2,46.64,48.73,41.4,9.87,0.35,1815963493.0,12075,8266,4339,0.2,7.2,15.5,0.05,0.72,19.42,0.79,6.44,668478.04,3337078.88,1.55,4.46,9.13,86.4,18.65,17.93,49.88,906.61,3130281.07,23.77,13.3,35.16,0.56,media,media
Amargosa,Bahia,34351,74.16,43.36,46.42,10.22,73.79,18.42,63.04,32.02,4.93,1.81,181838049.0,5543,1750,735,0.3,5.1,14.7,0.03,0.0,33.42,0.81,7.08,2587.12,3715413.82,1.46,4.33,11.33,84.33,3.55,29.7,29.73,740.74,1228160.26,17.93,11.33,21.19,0.58,media,media
Andorinha,Bahia,14414,11.55,43.89,47.64,8.47,44.39,49.07,76.46,21.65,1.89,0.0,134981776.8,2923,787,0,0.3,4.3,13.0,0.0,0.21,39.45,0.73,8.32,223091.44,129325.66,0.0,3.33,5.0,91.67,1.12,54.13,7.99,1620.43,2216912.97,8.69,5.65,5.34,0.0,media,media
Barreiras,Bahia,137427,17.49,47.76,47.87,4.37,90.36,16.94,48.25,41.07,10.68,0.22,1875816708.0,12763,7734,6318,0.3,5.6,22.7,0.06,0.62,16.27,0.81,9.47,91244.95,19100653.0,2.4,5.76,10.34,83.85,13.94,12.02,61.81,962.81,3065933.35,18.91,9.37,47.6,1.53,media,media
Barrocas,Bahia,14191,70.61,47.98,45.53,6.49,41.62,25.14,71.61,24.86,3.53,0.0,185344819.4,2115,620,0,0.2,4.9,17.4,0.0,0.5,32.83,0.79,9.78,768756.96,53668550.49,0.0,1.59,17.46,80.95,0.08,51.5,9.85,2111.82,2592962.08,9.45,6.27,4.79,0.0,media,media
Brumado,Bahia,64602,29.26,41.13,50.1,8.77,70.86,60.72,62.16,32.24,5.6,0.0,731336631.3,5282,3287,189,0.2,5.0,13.9,0.09,0.57,25.36,0.81,7.43,518830.84,1847432.28,1.55,3.73,11.5,84.76,2.27,27.31,50.7,868.78,2645050.13,18.36,9.51,31.44,0.77,media,media
Cachoeira,Bahia,32026,81.03,45.18,47.76,7.06,50.77,47.07,56.36,37.87,5.77,1.07,350482295.7,3192,1738,2586,0.1,4.9,12.6,0.06,0.03,33.83,0.76,10.36,3273327.3,24394562.86,1.87,4.72,11.81,83.46,3.03,23.74,49.45,933.42,2646893.17,15.77,11.43,21.92,1.25,media,media
Caetité,Bahia,47515,17.92,44.71,46.35,8.93,61.65,29.68,70.51,22.27,7.22,2.04,288757682.9,6665,2577,944,0.2,5.0,14.3,0.02,0.23,32.54,0.8,6.74,30988.32,624.86,1.05,4.19,15.01,80.79,2.23,32.95,40.28,953.51,1323191.46,12.1,7.02,22.27,0.84,media,media
Campo Formoso,Bahia,66616,9.18,48.5,44.53,6.96,38.98,11.63,75.23,19.66,5.11,0.0,372091661.9,6912,3025,209,0.1,4.3,17.9,0.01,0.04,46.53,0.75,15.45,1053061.43,743.67,0.45,0.33,7.84,91.83,0.87,19.88,29.18,1115.38,1333291.54,12.35,7.72,8.62,0.3,media,media
Casa Nova,Bahia,64940,6.73,48.58,43.99,7.42,56.76,39.6,76.83,19.63,3.54,0.2,293836615.6,7238,1970,180,0.1,3.8,19.3,0.0,0.51,37.38,0.74,8.43,397573.61,9972265.17,0.62,17.49,4.18,78.33,44.92,4.3,12.7,687.81,1147198.91,14.23,7.92,9.15,0.31,media,media
Castro Alves,Bahia,25408,35.7,45.19,45.73,9.08,63.4,56.46,68.15,27.62,4.23,0.0,144310579.8,2848,1283,0,0.5,5.1,12.8,0.0,0.0,34.72,0.77,4.11,481005.98,2540125.55,0.39,8.33,10.56,81.11,3.52,25.88,20.18,814.84,1416671.57,13.97,8.69,14.4,0.39,media,media
Catu,Bahia,51077,122.72,41.37,52.39,6.25,83.61,66.75,55.1,39.94,4.96,2.92,409852574.2,6220,3104,41,0.2,4.2,14.3,0.04,0.18,22.17,0.81,7.1,5221543.16,1703.31,1.57,2.76,13.56,83.68,4.46,35.13,41.91,2213.18,2319657.01,31.77,17.49,26.63,0.39,media,media
Conceição do Coité,Bahia,62040,61.06,45.33,46.8,7.87,61.13,29.37,70.14,26.11,3.75,0.0,359126605.2,11694,3479,519,0.1,4.9,16.0,0.11,0.26,32.42,0.75,8.73,94.94,5179483.56,0.81,2.91,17.86,79.22,1.13,34.66,28.06,741.47,1203908.69,12.07,6.5,15.93,0.64,media,media
Cruz das Almas,Bahia,58606,402.12,41.58,51.32,7.1,86.07,9.49,47.58,41.6,10.82,3.14,503145989.4,8772,3591,3668,0.3,4.4,15.1,0.08,0.29,24.93,0.8,13.28,124751.73,3358123.23,1.19,2.06,11.38,86.44,4.03,18.93,58.77,953.79,2191247.33,27.88,15.6,45.73,1.37,media,media
Esplanada,Bahia,32802,25.27,51.09,42.23,6.67,64.18,0.34,70.5,25.75,3.75,0.0,541521329.6,6051,1813,0,0.3,4.0,18.2,0.06,0.61,39.21,0.74,6.48,11388.94,33990.92,1.83,12.44,12.89,74.67,10.57,7.6,21.8,728.16,4484002.61,17.56,11.68,12.99,0.61,media,media
Eunápolis,Bahia,100196,70.27,46.2,48.14,5.66,93.32,26.47,52.95,37.11,9.94,0.37,1775415006.0,8943,5085,1830,0.2,5.6,21.0,0.1,1.22,17.93,0.79,8.27,134082.3,44041366.32,2.4,3.67,11.31,85.02,14.19,13.25,53.46,1107.15,4075206.48,21.38,11.06,44.11,1.1,media,media
Feira de Santana,Bahia,556642,416.03,42.95,51.03,6.02,92.42,47.31,49.54,40.18,10.28,0.75,7097102004.0,63868,32064,16852,0.2,6.4,17.6,0.07,0.74,15.8,0.82,8.0,2009912.58,2172944.08,1.15,1.18,16.36,82.45,1.08,31.92,59.97,941.71,2713380.45,20.08,10.5,44.44,0.93,media,media
Governador Mangabeira,Bahia,19818,186.4,46.21,46.57,7.23,40.29,0.23,64.06,31.71,4.23,1.14,100019662.4,4058,1213,0,0.1,4.2,14.7,0.05,0.75,30.73,0.75,5.61,41903.82,3251.08,2.52,3.82,11.45,84.73,33.16,8.15,20.75,714.36,1065147.97,11.34,5.71,16.35,0.5,media,media
Ipirá,Bahia,59343,19.39,46.39,44.04,9.57,52.09,58.22,80.51,16.69,2.8,0.0,298355240.5,7210,2619,0,0.1,5.4,14.0,0.05,0.1,38.41,0.75,4.47,520033.7,325833.88,0.67,7.11,16.58,76.32,2.03,31.18,29.79,761.0,1293459.04,13.56,8.93,13.04,0.51,media,media
Itabuna,Bahia,204667,510.36,41.0,51.26,7.74,97.65,80.87,49.53,37.52,12.96,1.25,2382127400.0,27605,11348,7272,0.3,12.0,16.9,0.13,0.83,17.09,0.81,10.55,2484972.91,1614727.88,1.47,2.18,10.5,87.29,3.68,20.5,61.43,1013.07,2808609.86,29.25,13.92,43.32,1.42,media,media
Itajuípe,Bahia,21081,77.86,44.18,46.45,9.36,79.31,60.13,67.75,25.75,6.5,0.0,199010964.3,3709,1023,0,0.3,4.5,14.0,0.05,0.0,28.49,0.76,9.65,4973506.0,626912.86,0.95,13.85,4.62,81.54,13.6,31.85,15.29,546.88,2615022.98,23.79,11.8,9.49,1.42,media,media
Itapetinga,Bahia,68273,41.35,44.12,48.28,7.6,96.77,92.27,58.61,33.95,7.43,0.42,1005806029.0,11593,3420,1037,0.3,5.2,16.9,0.07,0.24,12.26,0.79,3.75,1826851.9,1062956.07,1.46,5.57,12.73,81.59,3.07,68.75,17.0,812.21,3240316.82,13.36,7.79,25.11,1.46,media,media
Jaborandi,Bahia,8973,0.9,43.86,47.12,9.02,35.01,26.81,76.82,20.35,2.83,0.0,172944973.9,470,483,0,0.1,3.8,14.9,0.0,0.22,48.92,0.79,3.39,633032.43,3474662.88,0.0,75.56,2.22,22.22,70.96,3.9,1.19,1122.98,5430100.44,32.01,18.41,1.56,0.0,media,media
Jacobina,Bahia,79247,33.6,44.02,47.81,8.17,71.52,53.26,61.21,30.99,7.8,1.45,650771609.2,9984,4399,880,0.1,6.2,18.6,0.04,0.43,28.66,0.77,10.47,960441.53,18347763.57,1.77,4.19,10.75,84.95,1.33,25.55,47.85,1040.42,1846677.26,18.59,9.12,29.65,1.01,media,media
Jaguarari,Bahia,30343,12.35,43.53,47.05,9.42,55.88,62.77,65.08,28.79,6.13,0.0,498726044.0,4767,2382,0,0.1,5.3,14.2,0.0,0.07,36.44,0.81,12.51,2656753.45,56089.71,0.99,0.98,10.73,88.29,0.39,37.26,19.77,1978.99,4671756.44,16.81,9.94,9.43,0.99,media,media
Jequié,Bahia,151895,47.07,42.69,48.98,8.33,92.05,78.97,55.23,34.51,10.26,0.61,1239176118.0,20796,8513,4431,0.1,6.3,15.5,0.1,0.22,22.48,0.79,9.58,202178.35,297636.26,1.58,1.81,13.21,84.98,1.99,32.02,49.23,793.17,1958916.69,19.84,10.32,33.8,0.59,media,media
Juazeiro,Bahia,197965,30.45,47.5,47.11,5.39,81.41,57.33,55.72,35.0,9.27,0.07,1776017262.0,24177,10516,2328,0.1,5.1,17.8,0.07,1.26,21.56,0.8,12.09,498486.55,3201271.18,1.36,4.07,9.68,86.21,14.71,16.83,46.98,941.66,2229682.03,21.86,11.09,32.26,0.81,media,media
Lauro de Freitas,Bahia,163449,2834.61,41.48,54.29,4.24,100.0,54.43,41.28,39.84,18.88,5.84,3626670157.0,29288,7957,7190,0.2,6.3,15.8,0.05,0.48,11.45,0.83,6.72,5295276.2,1115535.73,1.71,0.51,22.26,77.23,0.39,15.41,81.28,964.61,4640431.55,25.89,11.15,71.73,2.51,media,media
Livramento de Nossa Senhora,Bahia,42693,21.86,43.05,48.51,8.45,51.1,28.48,75.46,20.9,3.64,0.0,281603028.0,2967,1512,0,0.1,4.5,14.4,0.07,0.16,35.73,0.79,10.04,52319.35,342167.33,1.17,7.78,7.78,84.44,9.24,11.44,40.59,676.08,1766474.35,14.46,7.09,19.3,0.47,media,media
Luís Eduardo Magalhães,Bahia,60105,15.25,51.44,46.86,1.71,91.03,0.81,57.62,29.38,13.0,0.17,1881598445.0,8728,3081,856,0.2,0.8,16.8,0.05,0.03,10.52,0.83,7.06,5013117.88,81064843.86,2.99,7.23,13.54,79.23,18.45,18.55,55.64,1026.44,6365437.9,13.92,7.48,55.89,0.67,media,media
Madre de Deus,Bahia,17376,539.61,42.35,52.95,4.71,97.23,91.79,41.3,51.25,7.45,0.0,341710681.9,2355,1130,67,0.4,4.8,16.2,0.0,1.29,22.34,0.79,17.74,6472916.67,6318591.74,2.3,0.7,10.56,88.73,0.1,6.86,54.68,7561.96,5665694.4,39.18,24.37,19.68,0.58,media,media
Mata de São João,Bahia,40183,63.46,45.43,49.22,5.35,73.3,26.34,54.54,41.17,4.29,9.43,600150383.7,6583,2330,0,0.2,5.7,17.0,0.03,0.2,23.45,0.82,7.83,1084943.14,119472.66,13.19,5.21,10.61,84.17,2.48,8.47,70.71,1097.92,3970079.99,20.95,14.22,140.48,0.5,media,media
Nova Viçosa,Bahia,38556,29.27,49.1,44.92,5.98,87.73,16.02,71.06,23.45,5.49,0.74,269220354.5,5805,1978,0,0.1,3.5,23.4,0.05,0.59,26.17,0.78,8.05,68656.5,426932.25,4.67,11.5,7.25,81.25,45.64,4.29,20.97,1114.82,1727469.99,18.96,11.35,22.36,0.26,media,media
Paulo Afonso,Bahia,108396,68.62,44.05,48.65,7.3,86.61,82.03,56.07,34.18,9.76,0.0,2188398172.0,17466,4994,1962,0.2,5.6,16.1,0.04,0.41,22.69,0.79,13.67,4103.38,51755.69,1.57,1.92,8.59,89.48,1.18,21.36,47.23,1415.43,5153903.93,16.72,9.94,27.14,0.83,media,media
Porto Seguro,Bahia,126929,55.5,49.13,47.38,3.49,84.07,58.67,57.16,31.43,11.4,5.02,1160233872.0,28120,6474,232,0.2,4.6,20.2,0.02,0.02,19.78,0.8,5.92,26332.12,50697.56,25.76,1.55,8.45,90.0,3.5,7.25,71.48,803.92,1997381.71,17.23,9.84,76.6,2.05,media,media
Presidente Tancredo Neves,Bahia,23846,57.16,50.82,42.95,6.23,41.88,33.95,77.45,19.6,2.95,0.0,107696405.2,2365,1179,0,0.1,2.8,20.2,0.0,0.0,42.47,0.73,4.51,51369.62,1462926.28,0.42,4.04,7.07,88.89,3.72,9.47,25.22,694.54,967199.28,7.22,3.96,7.88,0.0,media,media
Riachão das Neves,Bahia,21937,3.87,48.14,44.16,7.7,49.02,0.61,79.24,17.72,3.04,0.0,259108436.8,1658,1124,50,0.1,4.0,16.6,0.0,0.18,47.3,0.78,6.43,23785.39,16111861.69,0.0,53.57,3.57,42.86,47.36,2.04,6.53,1161.17,4231809.27,22.7,13.9,3.46,0.0,media,media
Riachão do Jacuípe,Bahia,33172,27.87,41.87,48.18,9.95,60.64,59.66,63.15,33.44,3.41,0.0,143062874.7,2666,1949,54,0.2,5.6,11.7,0.0,0.18,28.11,0.76,8.44,255676.47,77158.45,0.3,3.72,14.13,82.16,1.65,15.54,36.47,674.63,1034515.26,17.94,10.08,14.59,0.3,media,media
Ribeira do Amparo,Bahia,14276,22.22,49.79,40.94,9.28,14.17,0.53,85.65,12.66,1.69,0.0,58139295.52,1918,705,0,0.0,2.7,11.3,0.0,0.0,55.7,0.69,13.3,26054.92,928526.2,0.0,10.53,0.0,89.47,26.77,0.0,2.81,589.85,1014722.32,5.02,4.05,1.75,0.0,media,media
Ruy Barbosa,Bahia,29887,13.76,46.19,44.16,9.66,74.62,55.16,67.28,28.19,4.53,3.57,155607562.1,3801,1482,0,0.4,6.7,20.4,0.03,0.03,39.83,0.77,7.33,176999.36,717056.58,1.0,5.2,6.94,87.86,4.23,37.09,25.44,685.17,1421777.29,23.68,13.76,10.51,0.0,media,media
Salvador,Bahia,2675656,3861.98,38.13,55.7,6.18,99.98,91.53,37.17,44.38,18.45,2.9,40228702012.0,241634,149619,131895,0.2,7.1,14.6,0.08,2.99,11.35,0.84,19.48,1855813.7,445817.73,1.46,0.44,10.46,89.05,0.13,16.13,56.95,1332.93,3211864.02,28.34,13.06,46.54,1.6,media,media
Santo Antônio de Jesus,Bahia,90985,348.14,42.18,51.54,6.27,88.09,65.02,54.71,37.82,7.47,0.95,1082828862.0,14378,5538,2193,0.1,8.3,17.6,0.14,0.85,17.91,0.82,6.61,506900.7,74659.89,1.98,1.38,17.36,81.26,1.14,29.05,57.51,769.07,2525431.64,19.36,10.51,54.38,0.99,media,media
Santo Estêvão,Bahia,47880,131.91,47.97,43.9,8.14,59.39,2.43,68.77,27.26,3.97,0.0,386849811.6,4132,2749,0,0.2,5.0,17.4,0.04,0.17,32.34,0.81,3.43,1683755.85,2372031.95,0.84,0.82,7.36,91.55,0.41,49.4,23.07,753.35,1818271.08,18.82,10.65,20.05,0.42,media,media
São Domingos,Bahia,9226,28.22,40.13,50.15,9.72,64.9,67.96,64.91,29.15,5.95,0.0,35177354.1,1039,561,0,0.1,4.9,11.6,0.0,0.33,27.18,0.76,5.69,1675.7,13673.31,0.0,1.85,18.52,79.63,0.19,7.78,16.51,703.31,781636.28,16.95,7.86,7.48,0.0,media,media
São Félix,Bahia,14098,142.11,42.66,50.91,6.43,69.2,67.53,61.79,34.11,4.1,0.0,94303495.72,1616,774,0,0.3,12.9,13.8,0.07,0.57,30.6,0.77,8.71,11933.61,33572.85,1.42,3.45,10.34,86.21,1.15,2.81,37.41,913.26,1577881.88,18.51,12.94,13.12,0.71,media,media
São Gonçalo dos Campos,Bahia,33283,110.67,44.67,47.52,7.81,51.44,6.75,64.64,32.59,2.77,0.0,220543808.6,5552,1339,0,0.2,3.9,13.5,0.0,0.09,23.86,0.75,9.57,196666.47,2080880.93,0.6,11.05,19.77,69.19,4.27,57.45,18.85,893.2,1556360.69,20.77,12.68,7.87,0.6,media,media
São Sebastião do Passé,Bahia,42153,78.3,43.12,50.48,6.39,78.36,54.07,57.11,39.72,3.17,0.0,478708015.3,7316,2253,0,0.1,5.4,15.0,0.02,0.05,25.77,0.81,7.49,2696435.13,1056340.24,0.71,5.45,17.82,76.73,3.04,34.62,36.29,3134.89,3121058.81,34.0,17.76,13.19,0.24,media,media
Sapeaçu,Bahia,16585,141.5,43.94,47.48,8.58,49.74,3.24,71.57,25.01,3.42,0.0,103600358.6,1700,943,0,0.2,5.9,13.9,0.0,0.06,36.8,0.74,47.15,5230348.51,152005.43,0.0,3.37,7.87,88.76,7.98,9.53,32.85,639.71,1525529.72,19.28,10.59,14.59,0.6,media,media
Sátiro Dias,Bahia,18964,18.78,48.88,42.28,8.84,25.02,25.42,85.38,12.79,1.83,0.0,83905080.16,2990,825,0,0.4,4.3,13.1,0.05,0.0,52.46,0.74,4.89,98218.2,1802970.89,0.0,6.82,6.82,86.36,1.12,3.93,40.42,652.61,943022.59,8.82,5.03,3.95,0.0,media,media
Serrinha,Bahia,76762,125.08,46.1,46.87,7.03,63.74,49.12,60.03,34.73,5.24,1.06,524293671.4,10732,4805,856,0.2,4.2,15.9,0.09,0.12,31.96,0.78,8.22,773562.96,2580198.28,1.17,1.21,13.19,85.46,0.7,26.55,41.27,752.84,1590149.42,17.65,10.05,20.49,0.91,media,media
Terra Nova,Bahia,12803,64.36,44.52,46.95,8.54,89.79,62.01,64.87,32.18,2.95,0.0,62927513.18,2969,621,0,0.2,3.7,12.9,0.0,0.38,27.59,0.7,8.6,1769926.58,578068.42,0.0,14.29,14.29,71.43,4.44,33.46,10.72,719.62,1571978.02,33.93,17.25,4.14,0.0,media,media
Uauá,Bahia,24294,8.0,43.63,45.78,10.59,44.08,1.31,70.51,25.38,4.11,0.0,97069349.34,4116,1626,0,0.3,4.0,16.0,0.0,0.0,47.54,0.75,11.34,4457.07,20307.89,0.0,0.0,7.62,92.38,0.06,15.46,13.8,1274.38,1070809.44,14.17,7.09,7.82,0.41,media,media
Valença,Bahia,88673,74.35,46.6,47.15,6.25,74.81,65.94,62.32,31.5,6.18,3.51,759674005.2,11486,5122,7043,0.1,4.2,14.5,0.02,0.07,30.24,0.78,5.83,503591.74,576804.89,4.06,2.51,10.39,87.1,8.08,14.56,55.76,738.37,1947265.41,21.74,11.08,30.57,0.34,media,media
Vera Cruz,Bahia,37567,125.33,43.27,50.36,6.38,94.37,13.49,63.53,29.57,6.9,7.52,268583388.2,6910,1448,0,0.1,3.4,15.0,0.03,0.58,30.59,0.82,11.12,172055.0,5570.85,4.26,0.67,14.09,85.23,0.1,5.59,52.49,823.31,1866800.97,26.64,12.94,35.54,0.53,media,media
Vitória da Conquista,Bahia,306866,82.85,43.63,49.21,7.17,90.18,51.5,58.84,29.78,11.39,0.37,3480486447.0,45760,16089,12998,0.3,6.9,17.5,0.09,1.21,18.07,0.79,10.04,170099.72,2500460.17,1.17,2.63,14.2,83.14,2.55,23.06,60.03,907.76,2507690.7,18.02,9.29,40.09,0.91,media,media
Acaraú,Ceará,57551,68.3,49.9,42.98,7.11,50.74,8.06,78.35,17.39,4.26,0.66,329242940.4,12847,3599,21,0.1,3.1,16.8,0.02,0.19,51.22,0.76,22.46,135413.98,668971.35,0.0,23.08,17.69,59.23,17.13,10.83,14.78,735.19,1577491.85,14.38,7.94,2.26,0.0,media,media
Aquiraz,Ceará,72628,150.56,45.98,47.38,6.64,93.16,9.98,71.63,22.94,5.43,9.31,768614861.2,13978,3124,0,0.1,2.1,11.1,0.01,1.48,24.19,0.79,10.66,7004465.5,3625412.79,2.89,5.04,30.48,64.47,8.92,36.72,33.17,823.92,2694816.16,14.29,7.87,20.5,0.69,media,media
Aracati,Ceará,69159,56.32,44.13,48.42,7.45,64.94,4.34,64.05,28.59,7.35,3.75,578637446.4,11796,3874,1357,0.1,3.8,15.9,0.04,0.58,31.68,0.74,12.57,362318.28,3362024.03,5.78,8.03,10.37,81.61,20.19,16.29,37.23,751.87,2156687.66,21.73,10.04,27.47,0.43,media,media
Banabuiú,Ceará,17315,16.03,50.81,41.65,7.53,52.87,18.26,74.45,21.27,4.28,2.34,82887770.75,3638,989,0,0.0,3.8,19.4,0.0,1.0,48.92,0.78,15.12,292679.76,1399434.02,0.58,4.0,16.0,80.0,0.17,13.37,3.9,1714.62,1524397.87,11.71,5.65,1.33,0.0,media,media
